price,balance,btc,action,netBalance
8148,11397.246104581269,0,Sell,11397.246104581269
7870,11397.246104581269,0,Sell,11397.246104581269
8212,11397.246104581269,0,Sell,11397.246104581269
8190,11397.246104581269,0,None,11397.246104581269
8588,0,1.327112960477558,Buy,11397.246104581269
8587,0,1.327112960477558,None,11395.91899162079
8270,0,1.327112960477558,None,10975.224183149405
8308,0,1.327112960477558,None,11025.654475647552
8284,0,1.327112960477558,None,10993.80376459609
8354,0,1.327112960477558,None,11086.70167182952
8162,10831.895983417828,0,Sell,10831.895983417828
8003,10831.895983417828,0,None,10831.895983417828
8077,0,1.3410791114792409,Buy,10831.895983417828
7954,0,1.3410791114792409,None,10666.943252705882
7960,10674.989727374757,0,Sell,10674.989727374757
8231,0,1.29692500636311,Buy,10674.989727374757
8223,0,1.29692500636311,Buy,10664.614327323852
8027,0,1.29692500636311,None,10410.417026076684
7470,0,1.29692500636311,None,9688.029797532432
7432,0,1.29692500636311,None,9638.746647290633
8667,11240.449030149073,0,Sell,11240.449030149073
9260,0,1.2138713855452563,Buy,11240.449030149073
9552,11594.899474728289,0,Sell,11594.899474728289
9219,0,1.2577176998295139,Buy,11594.899474728289
9433,0,1.2577176998295139,None,11864.051062491804
9165,0,1.2577176998295139,Buy,11526.982718937494
9148,11505.601518040392,0,Sell,11505.601518040392
9253,11505.601518040392,0,Sell,11505.601518040392
9301,11505.601518040392,0,Sell,11505.601518040392
9206,11505.601518040392,0,None,11505.601518040392
9418,11505.601518040392,0,Sell,11505.601518040392
9310,11505.601518040392,0,None,11505.601518040392
9343,11505.601518040392,0,None,11505.601518040392
9204,11505.601518040392,0,Sell,11505.601518040392
8766,11505.601518040392,0,Sell,11505.601518040392
8809,0,1.306118914523827,Buy,11505.601518040392
9037,0,1.306118914523827,None,11803.396630551824
8718,11386.744696818723,0,Sell,11386.744696818723
8802,11386.744696818723,0,Sell,11386.744696818723
8762,11386.744696818723,0,Sell,11386.744696818723
8632,11386.744696818723,0,Sell,11386.744696818723
8458,0,1.3462691767343016,Buy,11386.744696818723
8483,11420.40142623708,0,Sell,11420.40142623708
8504,11420.40142623708,0,Sell,11420.40142623708
8176,0,1.3968201353029697,Buy,11420.40142623708
8121,11343.576318795416,0,Sell,11343.576318795416
8082,0,1.403560544270653,Buy,11343.576318795416
7617,0,1.403560544270653,None,10690.920665709564
7286,10226.342125555977,0,Sell,10226.342125555977
7324,10226.342125555977,0,Sell,10226.342125555977
6907,0,1.480576534755462,Buy,10226.342125555977
7130,10556.510692806445,0,Sell,10556.510692806445
7164,0,1.47354978961564,Buy,10556.510692806445
7524,0,1.47354978961564,None,11086.988617068075
7431,0,1.47354978961564,None,10949.94848663382
7757,11430.32571804852,0,Sell,11430.32571804852
7558,11430.32571804852,0,None,11430.32571804852
7403,11430.32571804852,0,None,11430.32571804852
7310,11430.32571804852,0,Sell,11430.32571804852
7297,11430.32571804852,0,Sell,11430.32571804852
7193,11430.32571804852,0,None,11430.32571804852
7396,0,1.5454740018994753,Buy,11430.32571804852
7547,11663.69229233534,0,Sell,11663.69229233534
7505,11663.69229233534,0,Sell,11663.69229233534
7522,0,1.5506105148012947,Buy,11663.69229233534
7337,0,1.5506105148012947,Buy,11376.8293470971
7221,0,1.5506105148012947,Buy,11196.95852738015
7202,0,1.5506105148012947,None,11167.496927598924
7189,0,1.5506105148012947,Buy,11147.338990906508
7252,0,1.5506105148012947,None,11245.02745333899
7068,0,1.5506105148012947,None,10959.715118615552
7111,0,1.5506105148012947,Buy,11026.391370752008
