Date,Open,Volume,Market Cap
"Oct 09, 2021","$53,929.78","$32,491,211,414","$1,035,558,748,272"
"Oct 08, 2021","$53,802.15","$34,800,873,924","$1,016,664,484,566"
"Oct 07, 2021","$55,338.62","$36,807,860,413","$1,013,573,258,668"
"Oct 06, 2021","$51,486.67","$49,034,730,168","$1,042,827,678,808"
"Oct 05, 2021","$49,174.96","$35,873,904,236","$970,325,310,417"
"Oct 04, 2021","$48,208.91","$33,383,173,002","$925,033,195,574"
"Oct 03, 2021","$47,680.03","$26,638,115,879","$907,791,525,236"
"Oct 02, 2021","$48,137.47","$30,614,346,492","$898,547,418,743"
"Oct 01, 2021","$43,816.74","$42,850,641,582","$906,127,699,408"
"Sep 30, 2021","$41,551.27","$31,141,681,925","$824,619,217,608"
"Sep 29, 2021","$41,064.98","$30,602,359,905","$782,651,228,474"
"Sep 28, 2021","$42,200.90","$30,214,940,550","$772,639,687,709"
"Sep 27, 2021","$43,234.18","$30,980,029,059","$795,216,175,345"
"Sep 26, 2021","$42,721.63","$30,661,222,077","$813,490,665,613"
"Sep 25, 2021","$42,840.89","$31,604,717,236","$804,192,450,113"
"Sep 24, 2021","$44,894.30","$42,839,345,714","$806,470,363,647"
"Sep 23, 2021","$43,560.30","$34,244,064,430","$845,122,403,460"
"Sep 22, 2021","$40,677.95","$38,139,709,246","$820,218,503,579"
"Sep 21, 2021","$43,012.23","$48,701,090,088","$765,958,488,767"
"Sep 20, 2021","$47,261.41","$43,909,845,642","$806,395,852,718"
"Sep 19, 2021","$48,268.86","$26,967,722,648","$889,472,404,520"
"Sep 18, 2021","$47,273.53","$28,575,630,451","$908,584,317,849"
"Sep 17, 2021","$47,771.00","$28,727,713,711","$889,514,744,351"
"Sep 16, 2021","$48,158.91","$31,764,293,754","$899,179,151,780"
"Sep 15, 2021","$47,098.00","$30,484,496,466","$906,532,479,371"
"Sep 14, 2021","$44,960.05","$38,652,152,880","$886,095,283,701"
"Sep 13, 2021","$46,057.22","$40,969,943,253","$845,980,481,365"
"Sep 12, 2021","$45,206.63","$27,881,980,161","$866,636,671,662"
"Sep 11, 2021","$44,869.84","$34,499,835,245","$850,381,828,071"
"Sep 10, 2021","$46,396.66","$39,154,666,597","$844,367,023,727"
"Sep 09, 2021","$45,774.74","$38,672,657,013","$872,686,454,372"
"Sep 08, 2021","$46,827.76","$49,007,762,488","$867,002,908,109"
"Sep 07, 2021","$52,660.48","$65,210,059,683","$880,498,621,998"
"Sep 06, 2021","$51,769.00","$38,884,105,426","$989,965,076,456"
"Sep 05, 2021","$49,937.86","$30,322,676,319","$973,354,882,473"
"Sep 04, 2021","$50,009.33","$37,471,327,794","$939,286,123,133"
"Sep 03, 2021","$49,288.25","$43,206,179,619","$940,757,184,680"
"Sep 02, 2021","$48,807.85","$39,508,070,319","$927,590,865,738"
"Sep 01, 2021","$47,099.77","$39,139,399,125","$918,501,510,157"
"Aug 31, 2021","$47,024.34","$34,730,363,427","$886,869,903,603"
"Aug 30, 2021","$48,834.85","$31,847,007,016","$884,727,824,089"
"Aug 29, 2021","$48,911.25","$25,889,650,240","$918,057,300,166"
"Aug 28, 2021","$49,072.59","$28,568,103,401","$919,372,790,254"
"Aug 27, 2021","$46,894.56","$34,511,076,995","$922,265,559,164"
"Aug 26, 2021","$49,002.64","$32,666,549,568","$882,436,522,913"
"Aug 25, 2021","$47,727.26","$32,646,349,931","$920,337,950,861"
"Aug 24, 2021","$49,562.35","$35,361,168,834","$896,704,765,697"
"Aug 23, 2021","$49,291.68","$34,305,053,719","$931,244,272,409"
"Aug 22, 2021","$48,869.10","$25,370,975,378","$926,961,622,395"
"Aug 21, 2021","$49,327.07","$40,585,205,312","$919,092,181,743"
"Aug 20, 2021","$46,723.12","$34,706,867,452","$927,189,789,032"
"Aug 19, 2021","$44,741.88","$37,204,312,299","$877,875,534,875"
"Aug 18, 2021","$44,686.75","$32,194,123,075","$841,823,296,233"
"Aug 17, 2021","$45,936.46","$33,451,362,600","$839,796,717,683"
"Aug 16, 2021","$47,019.96","$32,776,876,610","$864,345,726,183"
"Aug 15, 2021","$47,096.67","$30,988,958,446","$883,882,942,188"
"Aug 14, 2021","$47,810.69","$31,211,354,442","$884,769,956,069"
"Aug 13, 2021","$44,439.69","$31,744,259,539","$897,802,604,441"
"Aug 12, 2021","$45,576.88","$33,723,620,826","$834,546,790,666"
"Aug 11, 2021","$45,599.70","$34,319,709,073","$856,398,622,622"
"Aug 10, 2021","$46,280.85","$33,546,019,517","$856,195,142,352"
"Aug 09, 2021","$43,791.93","$38,734,079,049","$870,805,373,889"
"Aug 08, 2021","$44,574.44","$36,302,664,750","$822,545,074,286"
"Aug 07, 2021","$42,832.80","$40,030,862,141","$836,730,623,772"
"Aug 06, 2021","$40,865.87","$38,226,483,046","$804,022,903,682"
"Aug 05, 2021","$39,744.51","$35,185,031,017","$767,423,192,906"
"Aug 04, 2021","$38,213.33","$25,372,562,724","$746,313,542,791"
"Aug 03, 2021","$39,178.40","$26,189,830,450","$716,341,544,145"
"Aug 02, 2021","$39,907.26","$25,595,265,436","$735,995,665,489"
"Aug 01, 2021","$41,460.84","$26,688,438,115","$750,472,428,208"
"Jul 31, 2021","$42,196.30","$25,802,845,343","$781,431,379,811"
"Jul 30, 2021","$40,027.48","$33,072,782,960","$792,829,863,258"
"Jul 29, 2021","$39,995.45","$27,167,146,027","$750,980,784,072"
"Jul 28, 2021","$39,503.19","$38,702,404,695","$750,706,646,107"
"Jul 27, 2021","$37,276.04","$35,097,370,560","$739,612,127,373"
"Jul 26, 2021","$35,384.03","$51,022,126,212","$700,734,471,386"
"Jul 25, 2021","$34,290.29","$20,856,685,287","$663,401,935,103"
"Jul 24, 2021","$33,593.73","$21,664,706,865","$643,518,528,651"
"Jul 23, 2021","$32,305.96","$22,552,046,192","$630,147,722,704"
"Jul 22, 2021","$32,138.87","$19,555,230,518","$606,316,858,335"
"Jul 21, 2021","$29,796.29","$28,203,024,559","$602,489,309,202"
"Jul 20, 2021","$30,838.29","$23,148,267,245","$559,244,324,356"
"Jul 19, 2021","$31,800.01","$20,434,789,545","$578,178,147,283"
"Jul 18, 2021","$31,533.88","$18,787,986,667","$596,513,309,277"
"Jul 17, 2021","$31,397.31","$18,895,018,942","$591,536,476,392"
"Jul 16, 2021","$31,841.55","$23,699,476,918","$589,415,807,378"
"Jul 15, 2021","$32,827.87","$21,300,524,237","$596,124,462,729"
"Jul 14, 2021","$32,723.85","$21,376,531,210","$615,635,042,692"
"Jul 13, 2021","$33,125.47","$19,120,856,669","$613,343,664,760"
"Jul 12, 2021","$34,254.02","$24,321,499,537","$621,827,984,940"
"Jul 11, 2021","$33,509.08","$20,108,729,370","$642,138,104,626"
"Jul 10, 2021","$33,811.24","$22,971,873,468","$628,615,338,753"
"Jul 09, 2021","$32,861.67","$27,436,021,028","$633,784,072,787"
"Jul 08, 2021","$33,889.61","$29,910,396,946","$616,492,852,697"
"Jul 07, 2021","$34,225.68","$24,796,027,477","$634,802,817,185"
"Jul 06, 2021","$33,723.51","$26,501,259,870","$641,899,161,594"
"Jul 05, 2021","$35,284.34","$26,721,554,282","$632,696,207,200"
"Jul 04, 2021","$34,665.56","$24,924,307,911","$661,574,836,315"
"Jul 03, 2021","$33,854.42","$24,383,958,643","$649,939,701,346"
"Jul 02, 2021","$33,549.60","$38,728,974,942","$635,450,784,106"
"Jul 01, 2021","$35,035.98","$37,838,957,079","$629,339,325,298"
"Jun 30, 2021","$35,908.39","$34,059,036,099","$656,852,513,238"
"Jun 29, 2021","$34,475.56","$37,901,460,044","$672,333,423,402"
"Jun 28, 2021","$34,679.12","$33,892,523,752","$645,442,759,493"
"Jun 27, 2021","$32,287.52","$35,511,640,894","$649,461,677,014"
"Jun 26, 2021","$31,594.66","$38,585,385,521","$603,276,028,309"
"Jun 25, 2021","$34,659.10","$40,230,904,226","$592,978,211,189"
"Jun 24, 2021","$33,682.80","$33,123,368,116","$649,643,997,441"
"Jun 23, 2021","$32,515.71","$46,317,108,925","$632,011,278,436"
"Jun 22, 2021","$31,622.38","$58,964,353,058","$609,180,639,390"
"Jun 21, 2021","$35,641.15","$52,809,038,594","$593,627,575,887"
"Jun 20, 2021","$35,563.14","$36,664,034,054","$668,968,868,770"
"Jun 19, 2021","$35,854.53","$31,207,279,719","$667,400,859,261"
"Jun 18, 2021","$38,099.48","$36,200,887,275","$670,589,444,851"
"Jun 17, 2021","$38,341.42","$37,096,670,047","$713,025,631,758"
"Jun 16, 2021","$40,168.69","$39,211,635,100","$718,494,773,612"
"Jun 15, 2021","$40,427.17","$46,420,149,185","$757,029,874,725"
"Jun 14, 2021","$39,016.97","$43,148,914,673","$753,471,062,534"
"Jun 13, 2021","$35,555.79","$40,669,112,838","$732,465,659,892"
