,Date,Price,Open,High,Low,Vol.,Change %
253,1632700800.0,"42,172.6","43,200.9","44,293.2","42,143.9",54.12K,-2.39%
254,1632614400.0,"43,203.4","42,685.8","43,907.3","40,786.6",69.91K,1.21%
255,1632528000.0,"42,686.8","42,818.7","42,959.3","41,714.5",46.35K,-0.31%
256,1632441600.0,"42,819.9","44,867.4","45,112.0","40,908.5",128.88K,-4.57%
257,1632355200.0,"44,869.2","43,550.7","44,949.8","43,090.1",74.54K,3.03%
258,1632268800.0,"43,551.6","40,660.8","43,976.7","40,585.7",93.98K,7.13%
259,1632182400.0,"40,651.3","43,012.3","43,619.3","39,646.8",142.55K,-5.18%
260,1632096000.0,"42,870.6","47,240.8","47,323.9","42,547.1",77.96K,-9.25%
261,1632009600.0,"47,238.7","48,299.9","48,341.9","46,866.6",41.98K,-2.21%
262,1631923200.0,"48,306.7","47,283.9","48,761.0","47,070.5",43.64K,2.17%
263,1631836800.0,"47,282.8","47,748.2","48,155.9","46,788.8",50.16K,-0.97%
264,1631750400.0,"47,748.0","48,132.3","48,480.6","47,040.3",60.91K,-0.80%
265,1631664000.0,"48,130.6","47,070.8","48,436.5","46,743.9",63.40K,2.24%
266,1631577600.0,"47,077.5","44,950.2","47,247.6","44,718.7",65.33K,4.73%
267,1631491200.0,"44,949.5","46,060.8","46,807.7","43,463.2",96.15K,-2.42%
268,1631404800.0,"46,062.3","45,162.6","46,386.4","44,755.2",44.52K,1.99%
269,1631318400.0,"45,161.9","44,844.9","45,975.6","44,766.6",41.58K,0.71%
270,1631232000.0,"44,842.8","46,385.9","47,021.6","44,283.6",75.62K,-3.33%
271,1631145600.0,"46,385.6","46,057.6","47,305.7","45,609.0",73.63K,0.70%
272,1631059200.0,"46,061.4","46,774.1","47,316.9","44,493.7",100.48K,-1.54%
273,1630972800.0,"46,779.6","52,674.2","52,885.3","43,072.4",187.56K,-11.19%
274,1630886400.0,"52,672.1","51,769.4","52,726.2","51,002.8",69.46K,1.75%
275,1630800000.0,"51,768.6","49,918.7","51,878.2","49,492.4",57.30K,3.71%
276,1630713600.0,"49,918.4","49,999.3","50,534.6","49,461.4",48.14K,-0.16%
277,1630627200.0,"49,999.0","49,269.5","51,008.8","48,377.3",88.08K,1.47%
278,1630540800.0,"49,274.3","48,817.8","50,355.3","48,612.9",80.21K,0.93%
279,1630454400.0,"48,819.4","47,129.2","49,121.0","46,533.1",74.38K,3.58%
280,1630368000.0,"47,130.4","46,989.1","48,217.0","46,709.3",71.48K,0.29%
281,1630281600.0,"46,992.7","48,777.1","48,886.0","46,876.9",61.68K,-3.66%
282,1630195200.0,"48,777.4","48,899.7","49,621.7","47,870.1",47.62K,-0.24%
283,1630108800.0,"48,897.1","49,062.8","49,289.4","48,428.5",36.73K,-0.34%
284,1630022400.0,"49,064.3","46,830.2","49,142.0","46,371.5",62.47K,4.77%
285,1629936000.0,"46,831.6","48,994.4","49,347.8","46,360.4",73.79K,-4.41%
286,1629849600.0,"48,994.5","47,707.4","49,230.2","47,163.3",63.54K,2.68%
287,1629763200.0,"47,714.7","49,532.5","49,847.4","47,623.6",74.26K,-3.68%
288,1629676800.0,"49,539.7","49,255.4","50,498.8","49,038.6",75.37K,0.58%
289,1629590400.0,"49,254.5","48,870.4","49,480.3","48,151.0",49.32K,0.77%
290,1629504000.0,"48,875.8","49,330.0","49,719.1","48,293.5",18.20K,-0.91%
291,1629417600.0,"49,324.0","46,756.7","49,343.3","46,646.8",83.19K,5.49%
292,1629331200.0,"46,755.9","44,725.9","47,012.3","43,986.7",77.92K,4.54%
293,1629244800.0,"44,723.8","44,691.1","46,004.9","44,230.0",22.36K,0.07%
294,1629158400.0,"44,691.6","45,907.5","47,140.6","44,441.3",84.14K,-2.84%
295,1629072000.0,"45,996.3","46,991.6","48,002.4","45,672.1",2.41K,-2.12%
296,1628985600.0,"46,991.3","47,082.6","47,344.1","45,564.1",58.11K,-0.19%
297,1628899200.0,"47,081.5","47,809.6","48,090.9","46,117.2",64.29K,-1.52%
298,1628812800.0,"47,809.1","44,404.0","47,836.0","44,242.4",75.27K,7.67%
299,1628726400.0,"44,403.4","45,562.3","46,213.8","43,814.7",81.07K,-2.55%
300,1628640000.0,"45,564.3","45,593.2","46,736.5","45,367.9",75.43K,-0.06%
301,1628553600.0,"45,593.8","46,281.8","46,663.4","44,681.2",80.55K,-1.49%
302,1628467200.0,"46,284.3","43,794.9","46,460.7","42,824.1",117.08K,5.69%
303,1628380800.0,"43,792.8","44,584.9","45,284.1","43,314.4",105.25K,-1.84%
304,1628294400.0,"44,614.2","42,784.7","44,697.3","42,611.0",112.84K,4.25%
305,1628208000.0,"42,795.4","40,868.4","43,253.4","39,905.4",111.93K,4.72%
306,1628121600.0,"40,867.2","39,734.4","41,366.3","37,365.4",130.60K,2.84%
307,1628035200.0,"39,736.9","38,188.4","39,956.5","37,556.0",79.22K,4.21%
308,1627948800.0,"38,130.3","39,167.4","39,766.6","37,688.2",0.26K,-2.65%
