Date,Open
"Sep 13, 2020","$10,452.40"
"Sep 12, 2020","$10,409.86"
"Sep 11, 2020","$10,369.03"
"Sep 10, 2020","$10,242.33"
"Sep 09, 2020","$10,134.15"
"Sep 08, 2020","$10,369.31"
"Sep 07, 2020","$10,281.00"
"Sep 06, 2020","$10,167.22"
"Sep 05, 2020","$10,512.53"
"Sep 04, 2020","$10,230.37"
"Sep 03, 2020","$11,407.19"
"Sep 02, 2020","$11,964.82"
"Sep 01, 2020","$11,679.32"
"Aug 31, 2020","$11,713.31"
"Aug 30, 2020","$11,508.71"
"Aug 29, 2020","$11,541.05"
"Aug 28, 2020","$11,325.30"
"Aug 27, 2020","$11,485.61"
"Aug 26, 2020","$11,366.89"
"Aug 25, 2020","$11,773.59"
"Aug 24, 2020","$11,663.69"
"Aug 23, 2020","$11,679.70"
"Aug 22, 2020","$11,585.48"
"Aug 21, 2020","$11,878.03"
"Aug 20, 2020","$11,761.50"
"Aug 19, 2020","$11,990.88"
"Aug 18, 2020","$12,251.90"
"Aug 17, 2020","$11,895.66"
"Aug 16, 2020","$11,866.69"
"Aug 15, 2020","$11,768.70"
"Aug 14, 2020","$11,772.66"
"Aug 13, 2020","$11,588.41"
"Aug 12, 2020","$11,404.60"
"Aug 11, 2020","$11,881.65"
"Aug 10, 2020","$11,662.26"
"Aug 09, 2020","$11,737.33"
"Aug 08, 2020","$11,604.55"
"Aug 07, 2020","$11,778.89"
"Aug 06, 2020","$11,749.87"
"Aug 05, 2020","$11,203.82"
"Aug 04, 2020","$11,246.20"
"Aug 03, 2020","$11,043.77"
"Aug 02, 2020","$11,758.76"
"Aug 01, 2020","$11,322.57"
"Jul 31, 2020","$11,110.21"
"Jul 30, 2020","$11,099.83"
"Jul 29, 2020","$10,912.95"
"Jul 28, 2020","$11,017.46"
"Jul 27, 2020","$9,905.22"
"Jul 26, 2020","$9,680.23"
"Jul 25, 2020","$9,539.49"
"Jul 24, 2020","$9,585.51"
"Jul 23, 2020","$9,527.14"
"Jul 22, 2020","$9,375.08"
"Jul 21, 2020","$9,162.51"
"Jul 20, 2020","$9,187.22"
"Jul 19, 2020","$9,158.01"
"Jul 18, 2020","$9,151.18"
"Jul 17, 2020","$9,131.81"
